Datalog report
05/08/2018 11:05:36
      Prog Name:    Main.xlsm
       Job Name:    Main.xlsm
            Lot:
       Operator:    Administrator
      Test Mode:
      Node Name:    IP750_CB7E
      Part Type:
    Channel map:    Channel Map
    Environment:

    Site Number:
         0

    Device#: 1

    5/8/2018 11:05:36 AM

    Wf :
    Coord : X:00 Y:00

 Number     Site  Result   Test Name                 Pin            Channel   Low            Measured       High           Force          Loc
 0           0    PASS     OS_Pch                    AV22           9         100.0000 mV    1.0562 V       1.2000 V       100.0000 uA    0
 1           0    PASS     OS_Pch                    AV33SFVDD      18        100.0000 mV    435.0000 mV    1.2000 V       100.0000 uA    0
 2           0    PASS     OS_Pch                    VDDCELL        3         100.0000 mV    442.1875 mV    1.2000 V       100.0000 uA    0
 3           0    PASS     OS_Pch                    RSL            41        100.0000 mV    423.8751 mV    1.2000 V       100.0000 uA    0
 4           0    PASS     OS_Pch                    VCOM_T         2         100.0000 mV    382.5000 mV    1.2000 V       100.0000 uA    0
 5           0    PASS     OS_Pch                    VCOM_B         23        100.0000 mV    381.8750 mV    1.2000 V       100.0000 uA    0
 6           0    PASS     OS_Pch                    VREFP_T        0         100.0000 mV    277.1875 mV    1.2000 V       100.0000 uA    0
 7           0    PASS     OS_Pch                    VREFP_B        12        100.0000 mV    270.9375 mV    1.2000 V       100.0000 uA    0
 8           0    PASS     OS_Pch                    VREFN_T        1         100.0000 mV    270.3125 mV    1.2000 V       100.0000 uA    0
 9           0    PASS     OS_Pch                    VREFN_B        13        100.0000 mV    279.0625 mV    1.2000 V       100.0000 uA    0
 10          0    PASS     OS_Pch                    VRPGA_T        16        100.0000 mV    402.8125 mV    1.2000 V       100.0000 uA    0
 11          0    PASS     OS_Pch                    VRPGA_B        15        100.0000 mV    403.7500 mV    1.2000 V       100.0000 uA    0
 12          0    PASS     OS_Pch                    VCOMB_T        11        100.0000 mV    412.0843 mV    1.2000 V       100.0000 uA    0
 13          0    PASS     OS_Pch                    VCOMB_B        45        100.0000 mV    410.7081 mV    1.2000 V       100.0000 uA    0
 14          0    PASS     OS_Pch                    VREFPB_T       14        100.0000 mV    409.6135 mV    1.2000 V       100.0000 uA    0
 15          0    PASS     OS_Pch                    VREFPB_B       44        100.0000 mV    410.6143 mV    1.2000 V       100.0000 uA    0
 16          0    PASS     OS_Pch                    VREFNB_T       13        100.0000 mV    410.5205 mV    1.2000 V       100.0000 uA    0
 17          0    PASS     OS_Pch                    VREFNB_B       43        100.0000 mV    411.8028 mV    1.2000 V       100.0000 uA    0
 18          0    PASS     OS_Pch                    VRPGAB_T       12        100.0000 mV    429.1606 mV    1.2000 V       100.0000 uA    0
 19          0    PASS     OS_Pch                    VRPGAB_B       46        100.0000 mV    414.4612 mV    1.2000 V       100.0000 uA    0
 20          0    PASS     OS_Pch                    DKCLP          0         100.0000 mV    428.9104 mV    1.2000 V       100.0000 uA    0
 21          0    PASS     OS_Pch                    WHCLP          1         100.0000 mV    429.3795 mV    1.2000 V       100.0000 uA    0
 22          0    PASS     OS_Pch                    EXTS           2         100.0000 mV    428.8791 mV    1.2000 V       100.0000 uA    0
 23          0    PASS     OS_Pch                    EXTR           5         100.0000 mV    436.4165 mV    1.2000 V       100.0000 uA    0
 24          0    PASS     OS_Pch                    ATSTO1         6         100.0000 mV    409.3320 mV    1.2000 V       100.0000 uA    0
 25          0    PASS     OS_Pch                    ATSTO2         7         100.0000 mV    417.4323 mV    1.2000 V       100.0000 uA    0
 26          0    PASS     OS_Pch                    ATSTO_PLL      40        100.0000 mV    429.8487 mV    1.2000 V       100.0000 uA    0
 27          0    PASS     OS_Pch                    INCLK          48        100.0000 mV    428.1911 mV    1.2000 V       100.0000 uA    0
 28          0    PASS     OS_Pch                    SYSRSTN        50        100.0000 mV    428.8478 mV    1.2000 V       100.0000 uA    0
 29          0    PASS     OS_Pch                    SMSTSLV        54        100.0000 mV    427.5656 mV    1.2000 V       100.0000 uA    0
 30          0    PASS     OS_Pch                    WDR            56        100.0000 mV    430.9433 mV    1.2000 V       100.0000 uA    0
 31          0    PASS     OS_Pch                    CSN_SPI        32        100.0000 mV    427.5656 mV    1.2000 V       100.0000 uA    0
 32          0    PASS     OS_Pch                    CSN_TG         37        100.0000 mV    427.6594 mV    1.2000 V       100.0000 uA    0
 33          0    PASS     OS_Pch                    SCK            51        100.0000 mV    427.8470 mV    1.2000 V       100.0000 uA    0
 34          0    PASS     OS_Pch                    SDI            34        100.0000 mV    427.9721 mV    1.2000 V       100.0000 uA    0
 35          0    PASS     OS_Pch                    SDO            49        100.0000 mV    427.7532 mV    1.2000 V       100.0000 uA    0
 36          0    PASS     OS_Pch                    RCK            33        100.0000 mV    427.8470 mV    1.2000 V       100.0000 uA    0
 37          0    PASS     OS_Pch                    TDO0           55        100.0000 mV    429.4108 mV    1.2000 V       100.0000 uA    0
 38          0    PASS     OS_Pch                    TDO1           38        100.0000 mV    427.2215 mV    1.2000 V       100.0000 uA    0
 39          0    PASS     OS_Pch                    VSYC           53        100.0000 mV    431.6939 mV    1.2000 V       100.0000 uA    0
 40          0    PASS     OS_Pch                    VSYC1          35        100.0000 mV    426.9088 mV    1.2000 V       100.0000 uA    0
 41          0    PASS     OS_Pch                    HSYC           36        100.0000 mV    427.0026 mV    1.2000 V       100.0000 uA    0
 42          0    PASS     OS_Pch                    EVSYC          52        100.0000 mV    429.6297 mV    1.2000 V       100.0000 uA    0
 43          0    PASS     OS_Pch                    CKO1P          4         100.0000 mV    415.8999 mV    1.2000 V       100.0000 uA    0
 44          0    PASS     OS_Pch                    CKO1N          4         100.0000 mV    416.6018 mV    1.2000 V       100.0000 uA    0
 45          0    PASS     OS_Pch                    D1P_0          12        100.0000 mV    417.0749 mV    1.2000 V       100.0000 uA    0
 46          0    PASS     OS_Pch                    D1N_0          12        100.0000 mV    416.1746 mV    1.2000 V       100.0000 uA    0
 47          0    PASS     OS_Pch                    D1P_1          20        100.0000 mV    416.3882 mV    1.2000 V       100.0000 uA    0
 48          0    PASS     OS_Pch                    D1P_2          13        100.0000 mV    415.4879 mV    1.2000 V       100.0000 uA    0
 49          0    PASS     OS_Pch                    D1N_2          13        100.0000 mV    416.5865 mV    1.2000 V       100.0000 uA    0
 50          0    PASS     OS_Pch                    D1P_3          21        100.0000 mV    415.3658 mV    1.2000 V       100.0000 uA    0
 51          0    PASS     OS_Pch                    D1N_3          21        100.0000 mV    415.4269 mV    1.2000 V       100.0000 uA    0
 52          0    PASS     OS_Pch                    D1P_4          14        100.0000 mV    415.8999 mV    1.2000 V       100.0000 uA    0
 53          0    PASS     OS_Pch                    D1N_4          14        100.0000 mV    415.7626 mV    1.2000 V       100.0000 uA    0
 54          0    PASS     OS_Pch                    D1P_5          22        100.0000 mV    418.8754 mV    1.2000 V       100.0000 uA    0
 55          0    PASS     OS_Pch                    D1N_5          22        100.0000 mV    415.8236 mV    1.2000 V       100.0000 uA    0
 56          0    PASS     OS_Pch                    D1P_6          15        100.0000 mV    420.1724 mV    1.2000 V       100.0000 uA    0
 57          0    PASS     OS_Pch                    D1N_6          15        100.0000 mV    415.0607 mV    1.2000 V       100.0000 uA    0
 58          0    PASS     OS_Pch                    D1P_7          23        100.0000 mV    416.4492 mV    1.2000 V       100.0000 uA    0
 59          0    PASS     OS_Pch                    D1N_7          23        100.0000 mV    416.5408 mV    1.2000 V       100.0000 uA    0
